normalized_item,counterparty,doc_type,doc_date,unit_price,quantity,uom,source_file,doc_number
DARK+10 - BLACK,GULAB HOSIERY MFG CO,DELIVERY_INSTRUCTION,2026-01-22,310.0,25.0,KGS,doc_074.pdf,DDS/00527/25-26
160/72 POY,SANATHAN TEXTILES LIMITED,PURCHASE_ORDER,2026-01-15,110.0,18000.0,KGS,doc_069.pdf,DPY/00348/25-26
160/72 POY,SANATHAN TEXTILES LIMITED,PURCHASE_ORDER,2026-01-15,110.0,10000.0,KGS,doc_069.pdf,DPY/00348/25-26
160/36 POY,SANATHAN TEXTILES LIMITED,PURCHASE_ORDER,2026-01-15,110.0,6000.0,KGS,doc_069.pdf,DPY/00348/25-26
250/34 POY,RELIANCE INDUSTRIES LTD,PURCHASE_ORDER,2025-09-16,93.55,24000.0,KGS,doc_129.pdf,DPY/00193/25-26
250/34 POY,RELIANCE INDUSTRIES LTD,PURCHASE_REQUISITION,2025-09-16,93.55,24000.0,KGS,doc_142.pdf,POY/00193/25-26
250/34 POY,RELIANCE INDUSTRIES LTD,PURCHASE_REQUISITION,2025-11-25,88.55,16000.0,KGS,doc_077.pdf,POY/00280/25-26
250/34 POY,RELIANCE INDUSTRIES LTD,PURCHASE_ORDER,2025-11-25,88.55,16000.0,KGS,doc_131.pdf,DPY/00280/25-26
250/34 POY,RELIANCE INDUSTRIES LTD,PURCHASE_ORDER,2026-01-05,88.55,30000.0,KGS,doc_137.pdf,DPY/00338/25-26
250/34 POY,RELIANCE INDUSTRIES LTD,PURCHASE_ORDER,2026-01-15,88.55,8000.0,KGS,doc_119.pdf,DPY/00351/25-26
250/34 POY,RELIANCE INDUSTRIES LTD,PURCHASE_ORDER,2026-01-17,89.55,20000.0,KGS,doc_160.pdf,DPY/00354/25-26
162/34 SD POY,RELIANCE INDUSTRIES LTD,PURCHASE_REQUISITION,2025-11-25,91.55,12000.0,KGS,doc_077.pdf,POY/00280/25-26
162/34 SD POY,RELIANCE INDUSTRIES LTD,PURCHASE_ORDER,2025-11-25,91.55,12000.0,KGS,doc_131.pdf,DPY/00280/25-26
162/34 SD POY,RELIANCE INDUSTRIES LTD,GOODS_RECEIPT_NOTE,2025-12-20,91.25,3538.808,KGS,doc_128.pdf,DYT/01563/25-26
